cohort,stage,metric,n,mean,ci95_low,ci95_high,unit
replication,6,old_boundary_iou,10,0.8106589101579043,0.04891886872414819,1.5505835453358674,pp
replication,6,old_boundary_margin,10,0.008512115478515625,-0.13052835464477539,0.16816911697387696,logit
replication,6,old_miou,10,1.9140816946993888,1.3976901105593276,2.4314616421881854,pp
replication,7,all_miou,10,1.24171306919247,0.48147541610573386,2.0247798957089764,pp
replication,7,new_miou,10,0.4605408515927348,-0.1827623770081356,1.1495504945555675,pp
replication,7,old_boundary_iou,10,2.778269882022822,1.3506143053673891,4.073408236606695,pp
replication,7,old_boundary_margin,10,0.15746536254882812,0.029048347473144533,0.29100189208984373,logit
replication,7,old_miou,10,0.9598769695445214,0.16462959901290208,1.8090801556656637,pp
replication,8,all_miou,10,0.14355938699055937,-0.7519305541698736,0.8886552667908356,pp
replication,8,new_miou,10,-0.21673478772997562,-1.2615727504138414,0.8532078668065315,pp
replication,8,old_boundary_iou,10,1.3860053537826762,0.8087473596168883,1.8973314737471714,pp
replication,8,old_boundary_margin,10,-0.0639650583267212,-0.15283675193786622,0.026001739501953124,logit
replication,8,old_miou,10,0.22103925685859394,-0.6175080809833905,0.9666586870853848,pp
replication,9,all_miou,10,0.38683933317885055,-0.5079144911683936,1.1656473811369403,pp
replication,9,new_miou,10,0.1591296512376822,-0.39111805013683193,0.667369149082542,pp
replication,9,old_boundary_iou,10,0.7583721422297607,0.3709779837533554,1.170260430627299,pp
replication,9,old_boundary_margin,10,0.02290515899658203,-0.08331549167633057,0.13005011081695556,logit
replication,9,old_miou,10,0.43924442977797934,-0.4415308259384393,1.15679987409197,pp
replication,10,all_miou,10,0.2476351358691732,-0.6541298509202769,0.987817036536468,pp
replication,10,new_miou,10,0.025888080174215466,-0.35238314986279634,0.39212129627205555,pp
replication,10,old_boundary_iou,10,0.9052534820013421,0.3076737829078726,1.5536126890148685,pp
replication,10,old_boundary_margin,10,-0.14113340377807618,-0.3747365474700928,0.11153836250305176,logit
replication,10,old_miou,10,0.2597469738755521,-0.7328597573300846,1.0561782429578572,pp
